Itemsets,Season,Total Profit,Count
779,Fall,400155,231
779,Spring,695567,384
779,Summer,510562,306
779,Winter,308069,173
780,Fall,417825,247
780,Spring,626395,339
780,Summer,457300,282
780,Winter,308264,172
781,Fall,397818,237
781,Spring,692717,368
781,Summer,437205,277
781,Winter,316395,172
781 780 779 783 782,Fall,405845,65
781 780 779 783 782,Spring,426303,69
781 780 779 783 782,Summer,409121,72
781 780 779 783 782,Winter,217028,35
782,Fall,420254,264
782,Spring,782976,446
782,Summer,503271,327
782,Winter,371324,215
783,Fall,473138,288
783,Spring,714705,399
783,Summer,482147,301
783,Winter,334048,189
784,Fall,386310,224
784,Spring,651572,354
784,Summer,477599,287
784,Winter,355813,194
784 781 780 779 782,Fall,413952,66
784 781 780 779 782,Spring,439034,71
784 781 780 779 782,Summer,389452,67
784 781 780 779 782,Winter,211223,34
784 781 780 779 783 782,Fall,435761,58
784 781 780 779 783 782,Spring,444322,60
784 781 780 779 783 782,Summer,381254,56
784 781 780 779 783 782,Winter,229928,31
